matricula_id,cidade,indice_desenvolvimento_da_cidade,genero,experiencia_relevante,universidade_matriculada,nivel_educacional,disciplina_principal,experiencia,tamanho_da_empresa,tipo_da_empresa,ultimo_novo_emprego,horas_treinamento
28333,city_103,92,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",7,,Setor PÃºblico,1 ano,38
25726,city_24,698,Masculino,Possui experiência relevante,,Ensino Fundamental,,3,,,Nunca,150
15009,city_134,698,Masculino,Não possui experiência relevante,Não matriculado,Ensino Fundamental,,3,,,Nunca,82
20205,city_26,698,Masculino,Não possui experiência relevante,Não matriculado,Ensino Médio,,2,,,Nunca,284
31245,city_136,897,Masculino,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",10,10000+,Empresa Privada Ltda,4 anos,96
10810,city_123,738,Masculino,Não possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",4,,,Nunca,28
1172,city_9,743,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,Humanas,1,,,1 ano,48
10809,city_82,693,Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,1000-4999,Empresa Privada Ltda,3 anos,216
16944,city_103,92,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,,,3 anos,7
12829,city_69,856,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",16,50-99,Empresa Privada Ltda,2 anos,85
24246,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",12,10/49,Empresa Privada Ltda,Nunca,107
33108,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",14,10000+,Empresa Privada Ltda,Mais de 4 anos,29
5484,city_102,804,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,1000-4999,Empresa Privada Ltda,3 anos,12
20725,city_136,897,Masculino,Possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",9,100-500,Empresa Privada Ltda,2 anos,12
19501,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",15,50-99,Empresa Privada Ltda,Mais de 4 anos,34
19468,city_77,83,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,10/49,,2 anos,140
1097,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",12,50-99,Empresa Privada Ltda,4 anos,51
31984,city_40,"7,76E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,1 ano,70
172,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,Mais de 4 anos,46
4899,city_136,897,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,1 ano,60
19171,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,Mais de 4 anos,62
21296,city_46,762,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",11,500-999,Setor Público,3 anos,58
14156,city_160,92,,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",6,5000-9999,Setor PÃºblico,3 anos,24
31565,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,<10,Empresa Privada Ltda,4 anos,33
21308,city_126,479,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",2,,,2 anos,26
691,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,Mais de 4 anos,85
15225,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,Humanas,5,50-99,Startup Financiada,1 ano,76
852,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",16,10000+,Empresa Privada Ltda,Mais de 4 anos,92
3413,city_40,"7,76E+15",,Não possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",6,,,1 ano,90
33234,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",<1,100-500,Empresa Privada Ltda,2 anos,75
13314,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,50-99,Empresa Privada Ltda,1 ano,103
30921,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,Artes,18,<10,Startup em Estágio inicial,4 anos,206
17072,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,10000+,,Mais de 4 anos,13
31230,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,100-500,Startup Financiada,1 ano,55
6689,city_141,763,Masculino,Não possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",5,100-500,Empresa Privada Ltda,1 ano,28
19117,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,100-500,,1 ano,9
32259,city_83,"9,23E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",15,50-99,Empresa Privada Ltda,1 ano,144
15640,city_43,516,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,1000-4999,Empresa Privada Ltda,2 anos,100
16690,city_114,"9,26E+15",Masculino,Possui experiência relevante,Curso em tempo integral,Ensino Médio,,4,10000+,Empresa Privada Ltda,1 ano,16
10928,city_21,624,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",4,10000+,Empresa Privada Ltda,1 ano,10
10640,city_116,743,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",13,100-500,ONG,1 ano,166
14904,city_67,855,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,50-99,Empresa Privada Ltda,1 ano,304
5160,city_75,"9,39E+15",,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",6,10000+,Empresa Privada Ltda,2 anos,10
8239,city_21,624,Masculino,Possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",9,5000-9999,Empresa Privada Ltda,Nunca,48
11912,city_103,92,Masculino,Possui experiência relevante,,Graduação,Administração/Ecocomia,5,10000+,Empresa Privada Ltda,4 anos,17
23554,city_176,764,,Não possui experiência relevante,Não matriculado,Ensino Fundamental,,<1,,,Nunca,94
17221,city_21,624,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",4,,,Nunca,36
25072,city_136,897,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,1 ano,116
19240,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",15,<10,Empresa Privada Ltda,Mais de 4 anos,85
12151,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,100-500,Empresa Privada Ltda,2 anos,44
26963,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",12,<10,Startup em Estágio inicial,1 ano,79
2889,city_67,855,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,50-99,,1 ano,91
19260,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",12,100-500,Empresa Privada Ltda,4 anos,2
7626,city_11,55,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",3,,,,40
31896,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",15,100-500,Setor PÃºblico,Mais de 4 anos,12
17673,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,500-999,Empresa Privada Ltda,3 anos,102
12645,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,100-500,Empresa Privada Ltda,1 ano,190
13726,city_90,698,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",13,<10,,2 anos,105
14240,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,50-99,Startup em Estágio inicial,2 anos,7
5113,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",<1,10/49,Empresa Privada Ltda,3 anos,122
32646,city_21,624,,Possui experiência relevante,Não matriculado,Mestrado,Outros,2,,Empresa Privada Ltda,2 anos,62
30645,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",11,10000+,Empresa Privada Ltda,2 anos,9
14500,city_116,743,,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",5,,,Nunca,84
16525,city_67,855,Masculino,Não possui experiência relevante,Não matriculado,Ensino Fundamental,,7,,,Nunca,111
20663,city_16,91,Feminino,Possui experiência relevante,Não matriculado,Graduação,Humanas,3,50-99,Empresa Privada Ltda,1 ano,25
8897,city_103,92,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,Outros,7,,,4 anos,21
10049,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,1 ano,20
13543,city_105,794,Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,100-500,Setor Público,2 anos,2
1250,city_160,92,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",8,1000-4999,Empresa Privada Ltda,2 anos,22
16345,city_114,"9,26E+15",Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",8,,,1 ano,7
3673,city_67,855,Masculino,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",15,100-500,Empresa Privada Ltda,3 anos,20
17165,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,10/49,Empresa Privada Ltda,1 ano,36
8587,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",16,1000-4999,Empresa Privada Ltda,3 anos,59
7903,city_158,"7,66E+15",,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",10,100-500,Empresa Privada Ltda,,33
28390,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,,,3 anos,70
18101,city_83,"9,23E+15",Masculino,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,6,,,1 ano,29
3408,city_106,698,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",9,,,2 anos,101
3619,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,500-999,Empresa Privada Ltda,1 ano,75
9335,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",18,100-500,ONG,1 ano,25
31337,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,Mais de 4 anos,111
18903,city_103,92,,Possui experiência relevante,Não matriculado,Graduação,Sem disciplina principal,>20,50-99,Empresa Privada Ltda,1 ano,54
1406,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",14,<10,Empresa Privada Ltda,Mais de 4 anos,260
31133,city_74,579,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",6,,Empresa Privada Ltda,Nunca,56
30475,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,,Empresa Privada Ltda,Mais de 4 anos,176
11339,city_114,"9,26E+15",,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,8,,,Nunca,22
10455,city_160,92,Feminino,Não possui experiência relevante,Curso em tempo integral,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",10,,,1 ano,24
22881,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,500-999,,1 ano,16
29667,city_103,92,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",16,,Empresa Privada Ltda,Mais de 4 anos,103
16517,city_16,91,,Não possui experiência relevante,Não matriculado,Mestrado,AdministraÃ§Ã£o/Economia,<1,5000-9999,Empresa Privada Ltda,1 ano,86
15094,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,50-99,Startup Financiada,3 anos,88
2682,city_23,899,Feminino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",3,10000+,Empresa Privada Ltda,2 anos,98
7679,city_21,624,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",2,,,Nunca,66
2954,city_159,843,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10/49,Startup Financiada,1 ano,76
12709,city_21,624,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",10,,,1 ano,136
24845,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",14,50-99,Empresa Privada Ltda,1 ano,332
6829,city_21,624,,Possui experiência relevante,Não matriculado,Ensino Médio,,6,,,1 ano,85
12810,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",11,1000-4999,Empresa Privada Ltda,Mais de 4 anos,12
20607,city_89,925,,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,5,,,1 ano,31
10429,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",15,1000-4999,Empresa Privada Ltda,Mais de 4 anos,31
18781,city_136,897,,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",4,50-99,,1 ano,20
21189,city_13,"8,27E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",9,100-500,Empresa Privada Ltda,2 anos,25
19996,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,50-99,Empresa Privada Ltda,1 ano,37
24837,city_103,92,Feminino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,100-500,Startup Financiada,1 ano,55
4955,city_136,897,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",4,10/49,Empresa Privada Ltda,1 ano,39
32766,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",14,100-500,Startup Financiada,4 anos,110
6209,city_21,624,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",18,100-500,Empresa Privada Ltda,Mais de 4 anos,50
24293,city_21,624,Feminino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",<1,50-99,Empresa Privada Ltda,1 ano,49
28090,city_103,92,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,100-500,ONG,2 anos,107
11842,city_46,762,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,<10,Startup em Estágio inicial,2 anos,109
13211,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,Mais de 4 anos,80
26309,city_114,"9,26E+15",Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",14,10/49,Empresa Privada Ltda,1 ano,47
4832,city_91,691,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",4,50-99,Startup Financiada,1 ano,48
23885,city_67,855,,Não possui experiência relevante,Não matriculado,Ensino Médio,,3,,,Nunca,70
27278,city_160,92,Feminino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",11,1000-4999,,2 anos,332
32853,city_73,754,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Startup Financiada,1 ano,3
3264,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,2 anos,90
9997,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,Humanas,7,1000-4999,Empresa Privada Ltda,4 anos,44
21496,city_114,"9,26E+15",,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,6,10000+,,,98
20570,city_21,624,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",<1,,,1 ano,232
11907,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,1 ano,56
28629,city_160,92,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,50-99,Empresa Privada Ltda,2 anos,78
31388,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,5000-9999,Empresa Privada Ltda,2 anos,45
14538,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,50-99,Empresa Privada Ltda,Nunca,17
28,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,,,4,,Empresa Privada Ltda,Nunca,86
32099,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,3 anos,66
6356,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",19,,,1 ano,32
16058,city_160,92,Masculino,Possui experiência relevante,Não matriculado,,,19,<10,Empresa Privada Ltda,1 ano,35
10198,city_105,794,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",11,100-500,Empresa Privada Ltda,Mais de 4 anos,3
24993,city_162,767,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,50-99,,1 ano,91
28864,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,,Empresa Privada Ltda,4 anos,83
1206,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",13,50-99,Empresa Privada Ltda,Mais de 4 anos,54
14412,city_160,92,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,10000+,Empresa Privada Ltda,1 ano,65
19987,city_136,897,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",9,50-99,,3 anos,7
15586,city_115,789,Masculino,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",11,10/49,Empresa Privada Ltda,3 anos,47
17424,city_28,"9,39E+15",,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,9,,,Nunca,80
19783,city_16,91,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",16,100-500,Setor PÃºblico,1 ano,4
15763,city_97,925,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",16,500-999,Empresa Privada Ltda,1 ano,24
6433,city_21,624,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",2,1000-4999,Empresa Privada Ltda,1 ano,26
7881,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",10,<10,Empresa Privada Ltda,1 ano,38
9237,city_65,802,,Possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",17,50-99,Empresa Privada Ltda,Mais de 4 anos,41
26656,city_103,92,Feminino,Possui experiência relevante,Não matriculado,Graduação,Humanas,9,100-500,Empresa Privada Ltda,Mais de 4 anos,200
14019,city_103,92,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,3 anos,15
27036,city_61,"9,13E+15",Masculino,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,5,10/49,,1 ano,36
8304,city_45,89,Masculino,Possui experiência relevante,Não matriculado,Graduação,Outros,5,50-99,Empresa Privada Ltda,Nunca,82
16458,city_21,624,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,10/49,Setor Público,4 anos,74
16138,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",15,,,2 anos,61
8701,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,Mais de 4 anos,27
14281,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",16,50-99,Startup Financiada,4 anos,146
1968,city_104,924,Masculino,Possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Startup Financiada,2 anos,4
742,city_160,92,Feminino,Possui experiência relevante,Curso em tempo integral,Ensino Médio,,4,10000+,Empresa Privada Ltda,1 ano,50
17953,city_16,91,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,1 ano,86
660,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",16,50-99,Startup Financiada,Mais de 4 anos,37
10829,city_102,804,,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",10,100-500,Empresa Privada Ltda,1 ano,192
14159,city_133,742,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",12,50-99,Empresa Privada Ltda,Mais de 4 anos,8
13603,city_16,91,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",12,100-500,,1 ano,17
18232,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,3 anos,42
14574,city_21,624,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",<1,<10,Empresa Privada Ltda,1 ano,224
24725,city_103,92,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",4,500-999,Empresa Privada Ltda,1 ano,32
10737,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",16,10000+,Empresa Privada Ltda,1 ano,30
15141,city_138,836,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,10/49,Empresa Privada Ltda,3 anos,105
25308,city_128,527,Feminino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",<1,50-99,Startup em EstÃ¡gio Inicial,Nunca,81
23084,city_102,804,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",14,100-500,Empresa Privada Ltda,3 anos,90
25465,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,Humanas,9,100-500,Empresa Privada Ltda,1 ano,200
12340,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Startup Financiada,2 anos,21
15589,city_65,802,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",7,100-500,,1 ano,14
129,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,5000-9999,Setor Público,Mais de 4 anos,130
19641,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,Nunca,60
8083,city_45,89,,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,3,,,Nunca,22
4166,city_98,"9,49E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,Mais de 4 anos,105
14586,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,50-99,Empresa Privada Ltda,2 anos,86
21822,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,100-500,Empresa Privada Ltda,1 ano,51
2415,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",16,50-99,,Mais de 4 anos,228
1382,city_103,92,,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",14,,,4 anos,74
30373,city_136,897,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,3 anos,129
